gene_family	Amoebophrya_sp_A120	Aureococcus_anophagefferens	Bigelowiella_longifila	Brevimastigomonas_motovehiculus	Cafeteria_burkhardae	Chattonella_subsalsa	Chlorochromonas_danica	Colponemidia_sp_Colp-15	Cryptosporidium_muris	Ectocarpus_siliculosus	Gregarina_niphandrodes	Haloplacidia_sp_CaronLabIsolate	Hematodinium_sp_SG-2012	Hondaea_fermentalgiana	Lapot_gusevi	Leptophrys_vorax	MAST-03A_sp_MAST-3A-sp1	Mataza_sp_D1	Nannochloropsis_salina	Oxyrrhis_marina	Oxytricha_trifallax	Paramecium_tetraurelia	Paulinella_micropora	Perkinsus_marinus	Phaeodactylum_tricornutum	Plasmodiophora_brassicae	Platyophrya_macrostoma	Reticulomyxa_filosa	Saprolegnia_diclina	Stentor_coeruleus	Telonema_sp_P-2	Telonema_subtile	Tetrahymena_thermophila	Toxoplasma_gondii	Triparma_laevis	Vitrella_brassicaformis
OG0000000	15	3	9	6	3	16	7	11	2	9	4	6	22	4	16	12	6	12	7	25	31	10	7	10	12	11	7	17	27	15	10	6	25	11	3	18
OG0000001	2	10	0	0	4	1	3	8	1	6	0	2	3	8	3	0	5	3	3	4	8	3	0	1	1	4	0	3	6	3	5	1	2	4	1	2
OG0000002	1	3	1	1	6	3	1	15	1	2	0	7	3	1	2	0	0	3	0	1	1	2	0	3	0	1	4	5	3	2	4	0	0	1	3	1
OG0000003	9	7	7	6	9	5	7	19	2	6	2	16	8	6	6	6	7	9	4	10	10	3	4	3	4	4	2	6	12	9	13	17	4	4	8	9
OG0000004	11	33	24	9	11	8	6	5	3	5	1	6	11	14	3	6	14	21	3	28	1	7	13	8	19	5	7	6	7	6	6	7	7	0	5	16
OG0000006	2	1	3	5	7	0	4	2	4	5	0	2	1	7	2	4	2	2	1	4	9	0	4	3	3	1	3	1	8	5	6	2	3	1	3	3
OG0000007	4	8	0	1	1	0	10	6	1	2	0	2	3	24	2	9	3	4	1	2	0	1	2	0	0	2	1	2	16	0	3	0	1	2	5	3
OG0000008	0	1	3	0	0	3	4	12	0	1	0	1	0	3	1	27	0	0	0	2	5	4	8	0	2	1	2	0	0	1	2	3	10	0	0	4
OG0000009	0	1	2	1	5	2	1	8	0	2	0	3	1	2	2	3	1	2	1	3	0	2	3	0	0	2	1	4	4	6	1	2	3	1	3	1
OG0000010	0	8	0	1	0	0	0	0	0	2	0	0	6	0	0	1	1	2	0	4	1	0	1	0	1	0	0	1	0	2	0	0	2	3	2	4
