gene_family	Amoebophrya_sp_A120	Aureococcus_anophagefferens	Bigelowiella_longifila	Brevimastigomonas_motovehiculus	Cafeteria_burkhardae	Chattonella_subsalsa	Chlorochromonas_danica	Colponemidia_sp_Colp-15	Cryptosporidium_muris	Ectocarpus_siliculosus	Gregarina_niphandrodes	Haloplacidia_sp_CaronLabIsolate	Hematodinium_sp_SG-2012	Hondaea_fermentalgiana	Lapot_gusevi	Leptophrys_vorax	MAST-03A_sp_MAST-3A-sp1	Mataza_sp_D1	Nannochloropsis_salina	Oxyrrhis_marina	Oxytricha_trifallax	Paramecium_tetraurelia	Paulinella_micropora	Perkinsus_marinus	Phaeodactylum_tricornutum	Plasmodiophora_brassicae	Platyophrya_macrostoma	Reticulomyxa_filosa	Saprolegnia_diclina	Stentor_coeruleus	Telonema_sp_P-2	Telonema_subtile	Tetrahymena_thermophila	Toxoplasma_gondii	Triparma_laevis	Vitrella_brassicaformis
OG0000011	1	14	5	0	1	6	5	12	0	6	1	3	5	6	1	11	3	1	10	4	0	0	7	2	3	2	1	6	3	2	4	8	0	0	6	1
OG0000012	0	12	0	0	2	1	6	10	0	13	0	11	1	13	0	1	9	1	8	0	1	1	4	2	3	0	4	0	2	2	2	0	0	0	7	4
OG0000013	4	4	6	4	1	2	0	6	0	4	0	2	4	8	3	14	4	8	1	3	4	1	7	1	0	2	2	17	1	2	3	6	6	0	3	3
OG0000014	5	7	1	4	1	2	1	10	0	2	1	3	5	3	11	8	6	12	3	2	1	2	2	1	2	3	2	1	2	0	2	1	9	0	7	0
OG0000015	2	1	2	0	7	3	1	9	0	1	0	15	7	3	13	1	2	15	0	5	1	0	3	0	1	3	5	1	7	5	2	0	1	3	3	4
OG0000016	4	3	1	3	0	1	3	5	0	4	1	4	2	1	4	9	1	6	1	1	2	1	3	3	0	0	1	4	2	0	2	7	2	0	2	1
OG0000017	0	5	1	2	8	1	2	10	1	1	2	3	1	1	2	1	6	8	2	1	2	1	2	1	1	1	0	7	3	0	1	2	0	3	0	3
OG0000018	3	7	0	0	3	5	2	0	0	2	0	9	4	5	0	1	1	8	0	6	7	2	0	0	0	1	0	1	3	1	1	2	3	0	2	2
OG0000019	0	0	1	0	6	0	3	8	0	3	0	2	2	3	3	3	1	5	1	2	0	2	1	2	3	2	0	3	2	3	4	3	1	0	1	3
OG0000020	8	4	4	1	2	8	1	6	2	4	1	2	12	2	13	20	2	11	1	12	8	5	25	3	0	6	5	3	1	2	7	4	5	1	6	17
OG0000022	0	3	7	5	2	2	1	6	0	1	0	10	2	2	15	12	9	24	3	3	3	1	25	1	3	5	3	4	16	7	9	8	1	2	3	0
OG0000023	1	5	0	1	3	3	0	6	3	2	1	5	1	4	5	2	1	10	0	2	0	0	3	0	0	0	0	0	5	1	2	0	2	1	2	3
OG0000024	3	11	10	3	1	6	2	8	0	10	0	1	2	11	10	8	8	6	7	7	0	0	7	6	11	3	3	2	15	1	6	11	2	3	3	10
OG0000025	0	2	1	0	5	2	4	7	0	5	1	7	4	2	6	2	2	6	0	1	0	0	6	1	2	7	1	5	1	1	0	2	1	2	0	2
OG0000026	8	9	11	2	3	4	4	5	1	3	3	10	2	4	6	9	3	7	5	1	1	2	1	3	5	13	2	3	1	5	7	6	0	2	2	1
OG0000027	0	2	2	0	4	3	3	12	1	1	1	2	1	7	2	4	8	10	0	5	1	0	6	1	6	1	0	0	6	1	2	4	0	1	1	6
OG0000030	3	0	3	0	3	2	1	1	0	2	0	7	2	1	7	1	2	6	1	1	14	5	5	1	0	3	1	3	5	3	4	1	5	0	4	7
OG0000031	0	11	3	1	4	4	1	1	0	3	1	4	1	10	2	0	7	4	4	0	1	4	3	0	2	0	2	2	2	0	0	1	1	2	0	4
OG0000032	3	17	11	1	4	2	3	2	0	6	2	5	5	3	3	8	6	11	2	8	1	1	6	0	8	4	6	1	4	1	10	9	1	2	18	3
OG0000033	2	8	8	3	4	5	3	4	3	7	0	2	6	4	10	7	5	1	0	12	2	0	7	1	2	1	2	1	4	2	7	5	1	1	2	3
OG0000034	1	1	2	0	2	2	0	6	0	0	0	2	0	1	5	2	6	1	0	3	1	3	1	0	0	1	2	0	2	2	2	3	4	2	1	4
OG0000035	0	2	5	3	0	4	3	22	1	1	2	8	1	2	9	8	1	6	2	3	3	1	4	4	2	4	4	2	2	4	3	11	0	2	1	5
OG0000036	0	4	0	0	6	0	1	2	0	2	0	2	0	6	3	0	1	2	0	2	1	0	3	1	0	4	0	2	1	3	5	3	1	0	2	3
OG0000037	0	2	0	0	1	0	1	3	2	0	4	2	0	1	2	0	0	0	1	2	1	1	0	1	0	0	1	4	1	2	1	3	0	1	0	0
OG0000038	1	2	0	0	2	1	2	7	0	1	0	2	4	0	7	0	0	6	2	2	0	3	1	0	0	1	1	4	2	4	6	2	2	0	3	2
OG0000039	1	2	0	0	0	3	2	2	0	4	0	2	0	1	1	4	0	5	1	1	4	2	0	0	0	0	9	1	0	4	2	1	3	1	0	3
OG0000040	1	1	0	0	0	1	0	5	0	1	1	1	4	1	0	1	1	2	0	5	3	2	1	2	0	3	6	4	0	1	3	2	4	4	0	18
OG0000041	1	8	8	0	3	4	19	5	0	3	0	7	3	11	12	6	5	9	8	10	1	2	3	0	6	2	3	2	2	2	10	8	4	0	2	3
OG0000042	0	6	9	1	1	5	2	0	0	1	0	3	1	1	0	12	2	7	2	2	1	0	7	2	0	1	1	1	2	2	5	2	0	2	1	3
OG0000043	0	1	3	0	3	7	5	5	0	8	2	3	0	5	6	7	4	3	4	0	0	6	1	3	8	4	0	5	5	1	1	0	2	0	2	6
OG0000045	3	10	0	0	0	8	0	5	0	2	0	4	5	8	2	1	9	4	0	3	4	1	0	0	0	1	1	0	2	1	2	7	0	0	4	0
OG0000046	1	1	3	0	1	3	0	2	1	1	1	2	2	1	4	1	3	2	3	7	0	1	2	0	1	1	2	0	1	0	0	2	3	1	0	2
OG0000047	1	2	4	0	1	1	2	3	0	2	0	2	0	5	4	11	0	10	7	1	0	0	7	2	1	2	4	0	1	0	3	1	2	0	1	3
OG0000048	5	12	1	0	2	2	3	6	1	2	0	1	2	3	1	2	2	3	2	2	3	0	1	2	0	1	4	0	1	1	4	2	1	1	2	1
OG0000049	1	0	0	1	1	0	0	1	1	0	0	2	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	4	2	0	0	1	1	0	0	1
OG0000050	0	0	2	0	0	3	0	1	0	1	1	2	1	2	8	0	0	3	1	1	0	3	0	0	0	0	0	1	4	1	0	1	1	1	1	1
OG0000051	1	1	3	2	1	2	0	8	1	0	0	4	1	1	5	1	0	0	2	0	0	3	0	0	0	5	1	0	5	1	1	0	1	0	1	1
OG0000052	0	0	0	0	1	2	0	2	1	1	1	2	2	2	1	0	2	1	1	0	0	2	2	1	0	1	0	1	0	1	1	1	0	0	1	4
OG0000053	0	4	4	0	0	3	0	3	0	0	0	3	0	8	0	2	4	3	0	5	0	1	1	0	1	1	1	1	2	1	0	1	0	2	1	1
OG0000054	1	2	2	0	3	1	1	2	0	2	1	2	0	2	3	2	1	6	1	0	2	0	1	0	0	5	0	4	0	1	3	2	0	1	2	1
OG0000055	7	3	3	2	4	9	2	3	2	6	1	6	10	4	7	3	4	8	1	8	1	0	12	5	3	3	3	1	3	0	7	6	1	3	2	4
OG0000056	3	0	7	2	3	4	3	0	0	2	1	1	0	9	5	2	2	5	4	0	0	0	2	0	3	1	0	0	5	0	4	0	0	1	2	1
OG0000057	0	0	1	1	2	1	3	1	1	2	0	1	0	1	1	3	1	1	6	0	1	0	0	0	0	2	2	4	1	0	1	0	1	0	0	2
OG0000058	1	2	3	0	0	0	3	10	0	2	0	4	2	9	9	11	9	6	2	7	0	0	3	3	2	1	4	2	2	0	2	0	1	0	3	1
OG0000059	0	4	0	0	1	2	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	4	0	4	0	0	0	0	0	0	0
OG0000060	0	0	2	0	1	1	0	2	2	0	1	0	0	1	0	2	0	2	0	2	0	0	1	1	0	2	4	0	2	2	4	0	0	1	1	1
OG0000061	2	1	5	2	2	5	2	3	1	0	1	3	4	5	9	3	3	0	1	3	1	0	4	1	0	0	3	5	1	0	3	2	0	0	5	4
OG0000063	2	9	6	4	2	7	9	2	0	8	0	5	3	4	3	14	0	4	2	1	0	0	2	0	3	3	3	0	1	0	2	1	4	0	1	3
OG0000064	2	5	10	7	3	4	0	8	0	8	3	2	2	2	2	4	2	8	4	7	1	2	3	0	1	0	2	6	1	1	7	2	0	1	3	5
OG0000065	0	3	0	3	2	1	5	4	0	4	2	3	6	6	1	2	2	16	0	6	0	0	2	1	5	1	4	2	2	0	2	0	0	0	0	5
OG0000066	0	3	4	2	1	5	2	3	0	3	0	2	1	1	1	8	3	5	2	1	11	2	3	2	3	2	2	0	1	2	3	2	1	0	2	7
OG0000067	0	0	0	0	2	11	3	2	0	3	0	3	0	2	0	5	2	3	4	5	0	1	3	0	1	7	3	2	6	0	6	6	1	0	3	1
OG0000068	4	2	1	1	0	1	0	3	4	2	2	2	4	4	2	3	1	0	2	1	5	0	1	0	2	2	2	1	4	3	2	4	3	0	1	1
OG0000069	1	2	4	1	1	2	0	1	0	0	1	1	2	1	2	1	3	2	0	3	0	1	2	0	1	0	0	1	6	1	0	1	0	0	0	4
OG0000070	0	1	4	1	0	0	0	2	0	0	0	2	0	6	2	4	4	5	1	0	0	0	9	0	0	5	0	3	1	0	0	0	0	0	3	0
OG0000071	3	0	1	1	1	5	1	0	1	1	1	5	3	1	1	1	1	0	1	4	2	0	1	2	0	1	4	1	0	1	3	2	1	0	0	2
OG0000072	1	1	0	0	3	2	0	5	1	1	0	5	2	5	1	3	3	4	0	1	2	4	4	0	1	1	2	3	1	1	0	0	2	1	1	1
OG0000073	3	0	1	1	3	0	1	4	0	0	2	4	1	1	8	1	1	0	0	0	2	0	1	1	0	3	2	3	5	0	2	4	4	1	1	0
OG0000074	0	2	2	0	1	1	1	2	2	3	1	4	2	5	3	0	2	1	1	4	1	0	0	0	5	0	3	3	5	2	6	3	0	2	6	0
OG0000075	0	2	4	2	0	0	0	1	0	4	0	2	0	0	7	5	0	6	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	2	0
OG0000076	0	1	0	0	1	1	2	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	2	2	1	1	0	0	0	0	1
OG0000077	3	1	2	1	0	4	0	7	0	1	0	2	1	5	1	10	4	9	2	3	2	1	2	0	2	0	0	0	1	1	5	7	1	0	0	20
OG0000078	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
OG0000079	2	0	1	0	1	0	0	3	0	0	0	0	1	1	0	0	0	1	0	0	7	0	0	0	0	0	4	0	0	5	0	0	1	2	0	2
OG0000080	2	1	0	3	4	0	1	4	1	0	0	1	2	0	2	4	2	0	1	13	1	1	1	5	3	0	3	0	1	0	1	0	0	1	0	1
OG0000082	1	3	0	0	0	1	0	9	0	1	1	1	0	2	2	1	0	1	1	0	0	0	3	0	1	2	3	1	4	0	3	0	1	0	0	1
OG0000083	0	3	1	0	2	2	1	3	0	0	0	1	2	1	0	1	0	3	0	0	0	2	0	1	2	6	0	0	2	0	1	0	3	0	1	3
OG0000084	1	4	0	0	1	0	0	1	0	1	0	1	3	4	3	0	0	4	0	2	6	1	0	1	0	0	0	1	2	5	2	2	2	0	1	1
OG0000085	0	1	0	0	0	2	3	0	0	1	0	1	0	1	1	2	3	0	1	3	1	0	0	1	0	2	2	0	0	0	1	2	1	1	0	0
OG0000086	2	0	0	1	2	1	1	0	1	3	0	1	0	1	4	4	2	6	1	6	0	0	3	0	0	1	2	0	8	1	4	0	1	0	1	0
OG0000087	9	5	8	3	1	8	4	11	1	8	0	0	3	3	5	3	5	7	5	5	2	2	12	4	0	3	0	0	3	0	10	4	1	1	8	1
OG0000088	1	1	0	0	2	2	1	2	0	2	0	1	0	5	0	5	4	5	3	0	3	0	3	0	0	2	0	3	1	0	0	1	0	0	1	0
OG0000089	2	0	4	4	0	1	0	2	2	4	0	1	0	5	2	5	1	4	3	3	1	1	5	2	1	3	5	6	4	7	3	2	0	2	3	17
OG0000090	0	1	1	2	1	2	0	0	0	4	0	1	1	3	1	8	0	8	0	3	1	0	5	1	0	2	0	0	2	1	2	1	0	0	1	3
OG0000091	2	0	0	1	0	4	5	2	1	5	0	6	0	6	2	7	3	5	3	4	0	3	6	1	2	3	1	2	1	0	9	9	0	0	1	4
OG0000092	1	10	4	0	1	2	1	0	0	1	0	2	1	3	2	0	4	2	0	9	0	0	1	0	5	0	0	4	1	0	6	11	0	0	2	3
OG0000093	2	6	2	6	0	3	4	0	0	4	1	0	3	0	7	7	3	9	1	2	1	0	19	0	7	6	1	0	2	0	4	12	0	2	7	15
OG0000095	0	1	3	3	1	2	2	3	0	1	0	18	0	5	8	4	1	1	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	1	1	0
OG0000096	5	1	2	2	2	3	1	1	0	1	0	4	0	1	11	2	2	6	0	6	0	0	0	2	0	0	1	1	5	0	2	4	0	0	3	3
OG0000097	0	2	0	1	0	1	1	3	0	2	0	2	1	1	1	2	0	0	1	0	0	1	0	1	1	0	1	2	3	0	0	1	0	0	1	0
OG0000098	4	0	5	0	1	1	0	0	4	0	1	2	5	0	7	0	0	6	0	2	0	0	4	0	0	0	0	0	0	0	3	4	0	3	0	6
OG0000099	0	0	0	0	1	0	2	1	0	3	0	3	0	1	2	7	0	0	0	0	1	1	1	0	0	1	1	4	2	1	0	1	0	0	1	2
OG0000100	3	2	4	2	2	0	0	10	0	1	0	8	1	3	2	10	6	7	4	2	2	0	0	0	0	1	3	5	2	2	3	2	0	0	8	0
OG0000101	0	0	2	0	0	1	0	2	0	0	0	0	0	0	1	0	0	2	0	0	1	1	2	0	3	2	2	2	0	1	0	0	0	0	1	1
OG0000102	4	8	10	1	1	3	2	1	0	0	1	1	2	3	1	7	2	13	1	1	2	0	11	2	2	0	2	6	1	0	4	3	0	0	4	2
OG0000103	2	1	3	5	2	3	1	0	0	2	0	1	1	0	1	8	4	7	0	4	0	0	1	1	0	2	0	1	0	0	2	0	0	0	1	0
OG0000104	0	2	2	0	0	2	1	4	1	0	0	0	5	0	1	1	0	2	0	1	1	2	0	1	1	0	0	2	2	1	1	0	1	1	0	2
OG0000105	0	0	0	0	1	1	1	3	0	2	1	2	0	4	2	3	3	1	0	0	0	1	0	0	0	1	1	2	1	1	1	0	0	1	0	0
OG0000106	4	2	0	1	1	2	3	0	0	2	1	0	7	4	0	1	0	2	2	5	10	5	7	4	4	0	3	0	5	6	3	0	3	0	5	3
OG0000107	1	6	0	0	0	2	4	3	0	1	0	1	3	0	1	0	0	0	0	2	0	1	0	0	1	0	0	4	0	1	1	2	0	2	3	0
OG0000108	1	0	1	3	2	4	0	6	0	1	0	0	6	0	3	0	1	6	7	8	0	0	1	3	1	0	0	5	0	0	1	1	0	3	3	6
OG0000109	0	5	0	0	9	7	1	0	0	4	0	2	0	2	0	0	2	1	0	2	0	0	1	0	0	0	0	0	2	2	0	0	0	0	5	3
OG0000110	0	2	3	1	0	2	2	1	0	3	0	1	6	3	2	2	3	4	0	7	0	0	2	2	1	0	0	0	0	0	3	0	0	0	3	4
OG0000111	1	3	0	4	3	2	3	8	0	4	0	3	0	7	2	1	1	1	1	0	1	0	4	0	4	0	6	2	3	0	3	1	0	0	1	4
OG0000112	0	1	0	0	0	1	2	3	0	1	0	0	2	0	2	1	1	0	0	1	2	2	1	1	0	1	0	0	0	2	0	1	0	0	1	0
OG0000113	0	2	2	0	2	0	0	4	0	2	0	2	0	1	4	0	2	2	1	1	3	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0
OG0000114	0	0	2	0	0	0	1	2	0	1	0	3	0	0	6	4	1	3	0	2	1	0	4	0	0	0	1	2	1	3	0	0	0	0	0	0
OG0000115	1	6	1	0	0	0	3	7	0	2	1	1	3	0	2	0	0	2	0	0	0	0	0	2	0	0	1	8	1	0	0	0	0	1	0	0
OG0000116	1	1	0	1	0	0	2	2	0	1	0	1	2	2	1	1	0	1	0	1	1	0	2	0	1	1	3	0	0	1	4	0	0	0	2	2
OG0000117	4	5	6	5	1	1	5	3	1	2	1	3	1	0	7	2	0	10	4	5	0	0	9	2	0	2	1	2	1	0	5	3	0	0	3	1
OG0000118	2	2	1	0	1	2	3	0	0	2	0	1	1	5	6	2	0	5	1	1	1	2	6	5	2	3	2	0	2	1	3	5	2	1	1	3
OG0000119	0	1	2	0	0	2	1	3	0	1	0	1	0	0	1	2	0	1	1	2	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1
OG0000120	0	0	0	1	0	0	0	4	1	1	0	0	1	2	0	3	2	3	0	3	0	0	1	2	0	0	1	1	0	0	1	0	0	2	0	0
OG0000121	0	0	0	0	1	1	1	0	0	0	1	0	1	5	2	1	3	0	0	0	1	0	0	1	0	1	5	1	1	0	0	1	1	0	0	0
OG0000122	4	4	1	0	2	1	1	1	0	3	0	7	7	3	4	2	1	6	2	3	0	0	3	0	5	0	1	0	1	2	4	2	0	0	3	2
OG0000123	0	2	5	0	2	3	1	2	0	2	0	0	1	1	4	2	1	3	0	0	0	0	6	0	3	3	0	3	2	0	2	3	0	2	1	2
OG0000124	5	2	1	0	0	1	1	1	0	1	1	1	2	1	0	0	1	6	0	6	0	0	3	1	1	2	0	1	1	0	6	7	0	0	5	2
OG0000125	7	4	4	1	4	2	1	9	0	0	0	0	8	1	0	10	2	4	1	5	1	1	10	1	1	0	1	3	5	2	2	3	1	0	4	3
OG0000126	0	8	0	0	2	2	2	18	0	4	0	1	2	2	1	5	1	0	4	0	1	0	1	3	5	3	1	0	2	2	4	5	1	0	0	8
OG0000127	0	0	0	0	0	1	0	4	0	1	2	1	0	2	7	0	1	2	0	2	0	1	2	1	0	0	5	0	2	2	2	1	0	0	1	0
OG0000128	0	1	0	0	0	0	0	0	0	1	1	3	1	0	2	3	0	0	1	2	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0
OG0000130	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	2	3	0	1	0	0	2	1	0	1	0	3	2	0	3	0	1	0	1	0
OG0000131	0	0	3	0	0	0	0	2	0	1	0	4	3	3	0	3	0	2	0	14	0	3	1	1	1	0	0	1	0	1	4	1	0	0	0	2
OG0000132	0	1	3	2	0	4	0	4	0	2	1	1	2	5	4	5	0	9	0	4	1	0	4	2	0	0	2	8	7	1	4	2	0	1	4	4
OG0000133	0	0	0	0	0	0	1	6	1	0	0	0	2	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	2	2	1	1	1	5
OG0000134	1	3	4	0	2	7	7	7	0	2	0	4	1	6	4	0	1	1	0	4	1	0	0	2	0	1	3	1	0	2	6	1	4	0	5	3
OG0000135	2	0	3	2	3	1	0	3	1	0	1	1	0	5	3	2	2	7	0	3	1	0	4	0	1	2	0	1	8	0	2	3	0	3	1	0
OG0000136	0	2	0	0	1	2	5	3	0	3	1	1	3	0	1	2	0	1	1	1	0	0	4	2	2	3	1	0	3	1	3	1	0	2	4	2
OG0000137	0	1	2	0	2	1	1	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
OG0000138	0	12	2	0	1	1	5	0	0	0	0	0	0	0	0	0	7	11	0	2	0	0	1	0	0	0	0	1	0	0	8	11	0	0	5	0
OG0000139	1	1	0	0	0	0	0	1	0	1	0	0	0	3	0	2	1	0	1	3	1	1	0	2	3	0	8	0	0	0	2	1	2	1	2	0
OG0000141	0	0	0	1	6	0	1	2	0	0	0	5	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	1	3	1	0	3	0	0	0	0
OG0000142	0	0	2	3	1	0	0	9	0	0	0	3	1	1	5	3	4	7	0	2	0	0	1	0	2	0	0	0	1	0	17	10	0	0	1	7
OG0000144	1	0	0	0	1	0	0	7	1	0	2	0	1	3	2	1	1	0	1	0	0	0	0	0	0	1	2	0	1	3	0	0	0	0	0	1
OG0000145	0	3	0	0	2	3	2	4	0	4	0	2	0	0	0	0	1	2	2	1	2	1	0	0	0	0	0	1	5	0	0	0	1	0	3	2
OG0000146	0	0	1	13	0	0	0	0	0	4	0	0	1	0	0	2	1	0	0	2	2	0	1	0	0	1	1	0	0	0	0	3	2	0	0	1
OG0000147	0	1	2	0	0	0	0	3	0	0	0	1	1	1	5	0	1	27	2	2	0	0	0	3	1	3	2	0	4	0	1	3	0	0	1	1
OG0000148	4	1	4	0	0	2	0	2	0	1	0	0	0	0	5	0	1	1	2	1	0	0	0	0	3	0	3	2	0	4	0	1	1	2	0	0
OG0000149	1	2	10	0	4	1	5	1	0	2	0	9	4	3	2	1	3	1	3	5	0	0	5	0	0	0	3	1	0	0	6	2	0	1	4	3
OG0000150	0	1	0	0	3	3	0	4	0	0	0	1	0	4	7	1	0	1	1	0	2	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0
OG0000151	0	1	1	1	1	1	0	4	2	0	0	2	0	1	0	0	1	0	2	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	1
OG0000153	2	3	13	0	0	0	2	1	0	4	0	0	0	2	4	4	3	7	1	5	1	1	7	0	1	1	0	4	0	0	9	5	0	2	3	1
OG0000154	0	3	0	0	0	4	6	4	0	1	0	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	5	0
OG0000155	2	1	1	0	5	1	3	2	0	2	1	3	0	3	0	1	2	6	1	2	0	1	2	0	0	0	0	3	0	0	0	0	1	0	3	2
OG0000156	1	2	3	1	3	1	0	2	0	0	0	0	3	0	0	1	4	5	1	2	1	0	0	2	0	0	0	0	2	0	3	6	0	0	0	0
OG0000157	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	2	0	1	1	1	1	0	2	0
OG0000158	0	0	2	0	0	0	0	8	0	5	0	1	0	0	2	1	1	4	2	0	0	0	3	1	0	1	1	0	3	4	1	1	0	0	3	1
OG0000159	0	1	0	0	4	0	3	3	0	1	0	5	0	1	0	2	1	2	1	0	1	1	2	0	0	1	0	2	2	1	2	3	0	0	0	0
OG0000160	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0
OG0000161	0	4	7	4	0	3	1	0	0	1	0	2	0	0	7	5	0	4	0	0	0	0	4	0	1	1	0	0	0	0	0	1	0	0	0	0
OG0000162	1	3	1	3	0	0	3	0	0	0	0	0	4	1	10	0	4	3	0	3	0	0	5	0	3	2	0	1	0	0	4	0	0	0	2	0
OG0000163	0	1	0	2	1	4	0	8	0	13	0	7	0	3	0	1	5	6	4	0	4	0	2	1	4	3	0	7	3	2	5	2	1	0	5	2
OG0000164	2	1	1	1	0	2	1	1	0	0	0	2	2	0	6	2	0	2	0	0	1	0	1	0	5	1	1	3	0	4	0	3	0	0	2	0
OG0000165	0	3	1	2	1	1	1	3	0	3	0	3	1	0	0	2	4	3	0	5	0	0	7	3	0	6	1	1	5	0	0	2	0	0	0	0
OG0000166	2	2	0	0	0	0	2	0	1	2	0	0	7	1	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	9	3	0	1	0	7
OG0000167	2	0	1	0	0	1	0	1	0	0	0	1	1	1	1	2	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	1	1	2	0	1
OG0000168	0	1	0	0	1	0	2	12	0	5	1	2	0	0	1	2	1	0	0	6	0	2	1	0	0	0	3	4	0	0	3	0	0	0	1	0
OG0000169	3	6	0	0	2	2	0	3	0	0	0	4	4	4	9	2	0	4	0	0	1	0	1	0	0	0	0	2	1	0	1	0	0	0	5	0
OG0000170	2	1	0	0	9	0	2	0	0	0	1	1	1	1	1	2	0	5	2	2	0	1	2	0	1	3	1	0	1	0	3	0	1	0	1	5
OG0000171	0	0	0	0	0	0	3	3	0	3	0	0	0	0	0	0	0	2	1	0	1	1	1	0	6	1	0	0	0	4	3	0	2	0	2	0
OG0000172	0	2	0	0	1	2	3	1	0	0	0	0	0	1	0	1	0	2	2	0	1	1	0	0	2	0	1	0	0	0	1	0	0	0	1	0
OG0000173	0	1	3	2	1	4	0	0	1	1	1	2	2	2	3	5	5	1	0	1	2	3	5	0	1	0	3	0	0	1	1	3	0	1	2	0
OG0000174	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000175	1	2	2	1	0	1	2	5	1	1	1	2	0	4	1	4	1	5	0	2	1	5	0	0	0	2	3	0	1	4	4	3	0	0	4	0
OG0000176	0	2	1	1	2	1	0	0	0	0	0	3	0	0	8	4	0	5	0	1	1	0	3	0	0	1	0	3	1	0	0	0	0	1	2	1
OG0000177	2	0	2	1	0	0	0	0	2	0	0	1	1	0	6	0	0	0	1	1	0	0	0	0	0	0	1	3	2	1	1	0	0	0	0	0
OG0000178	0	0	0	0	1	0	0	7	1	1	1	1	1	3	0	3	1	3	1	1	1	1	0	3	0	1	0	0	0	0	0	0	0	1	0	2
