	Amoebophrya_sp_A120	Aureococcus_anophagefferens	Bigelowiella_longifila	Brevimastigomonas_motovehiculus	Cafeteria_burkhardae	Chattonella_subsalsa	Chlorochromonas_danica	Colponemidia_sp_Colp-15	Cryptosporidium_muris	Ectocarpus_siliculosus	Gregarina_niphandrodes	Haloplacidia_sp_CaronLabIsolate	Hematodinium_sp_SG-2012	Hondaea_fermentalgiana	Lapot_gusevi	Leptophrys_vorax	MAST-03A_sp_MAST-3A-sp1	Mataza_sp_D1	Nannochloropsis_salina	Oxyrrhis_marina	Oxytricha_trifallax	Paramecium_tetraurelia	Paulinella_micropora	Perkinsus_marinus	Phaeodactylum_tricornutum	Plasmodiophora_brassicae	Platyophrya_macrostoma	Reticulomyxa_filosa	Saprolegnia_diclina	Stentor_coeruleus	Telonema_sp_P-2	Telonema_subtile	Tetrahymena_thermophila	Toxoplasma_gondii	Triparma_laevis	Vitrella_brassicaformis
Amoebophrya_sp_A120	0	46	66	3	22	33	43	46	11	16	16	20	23	45	32	53	37	50	10	45	18	6	43	62	32	16	26	35	18	19	30	39	7	23	48	112
Aureococcus_anophagefferens	37	0	115	12	62	100	86	39	0	137	8	42	28	108	37	85	64	74	66	93	8	4	72	16	14	22	26	29	38	7	71	85	3	5	18	61
Bigelowiella_longifila	48	86	0	18	47	58	86	90	2	43	12	54	44	82	16	155	103	146	22	92	16	12	102	20	58	52	39	133	67	17	83	74	16	8	47	80
Brevimastigomonas_motovehiculus	17	17	10	0	20	21	35	98	3	11	8	37	15	19	109	89	23	27	22	34	14	12	21	9	11	45	36	88	28	6	28	26	9	6	18	26
Cafeteria_burkhardae	19	82	64	14	0	21	58	103	3	54	15	2	21	97	65	95	40	65	30	60	19	3	41	21	33	39	40	48	84	7	46	50	5	6	54	47
Chattonella_subsalsa	23	136	89	18	38	0	107	47	1	6	10	64	14	75	40	94	40	55	26	100	14	6	31	13	145	26	19	33	117	3	42	34	7	5	188	127
Chlorochromonas_danica	29	87	94	25	58	101	0	103	4	85	19	85	31	105	63	181	53	76	13	52	18	7	75	21	131	30	36	60	52	20	58	78	14	12	111	100
Colponemidia_sp_Colp-15	33	42	62	48	51	74	95	0	14	36	16	138	63	102	416	260	50	136	29	77	58	26	97	27	29	61	502	33	120	31	323	141	29	14	50	131
Cryptosporidium_muris	13	5	9	2	3	6	6	11	0	4	2	6	32	4	6	13	5	6	1	17	9	4	11	12	3	4	4	14	9	5	7	6	8	87	5	17
Ectocarpus_siliculosus	17	169	94	16	57	9	95	69	3	0	4	74	16	92	46	92	35	45	30	32	7	5	38	12	149	25	23	32	157	11	34	46	3	9	182	121
