	Amoebophrya_sp_A120	Aureococcus_anophagefferens	Bigelowiella_longifila	Brevimastigomonas_motovehiculus	Cafeteria_burkhardae	Chattonella_subsalsa	Chlorochromonas_danica	Colponemidia_sp_Colp-15	Cryptosporidium_muris	Ectocarpus_siliculosus	Gregarina_niphandrodes	Haloplacidia_sp_CaronLabIsolate	Hematodinium_sp_SG-2012	Hondaea_fermentalgiana	Lapot_gusevi	Leptophrys_vorax	MAST-03A_sp_MAST-3A-sp1	Mataza_sp_D1	Nannochloropsis_salina	Oxyrrhis_marina	Oxytricha_trifallax	Paramecium_tetraurelia	Paulinella_micropora	Perkinsus_marinus	Phaeodactylum_tricornutum	Plasmodiophora_brassicae	Platyophrya_macrostoma	Reticulomyxa_filosa	Saprolegnia_diclina	Stentor_coeruleus	Telonema_sp_P-2	Telonema_subtile	Tetrahymena_thermophila	Toxoplasma_gondii	Triparma_laevis	Vitrella_brassicaformis
Gregarina_niphandrodes	12	7	9	7	11	3	10	12	0	4	0	9	14	8	16	20	10	9	2	27	5	6	10	24	6	8	7	6	9	13	13	11	5	69	8	19
Haloplacidia_sp_CaronLabIsolate	25	56	59	32	5	54	99	167	5	53	6	0	18	87	90	100	78	102	38	59	13	6	47	25	27	38	48	44	141	14	48	51	9	9	74	56
Hematodinium_sp_SG-2012	11	36	46	13	16	22	39	54	18	27	17	20	0	34	36	45	25	60	17	75	13	6	39	103	16	13	16	29	22	16	41	37	11	30	31	182
Hondaea_fermentalgiana	36	86	128	17	56	54	94	117	6	89	18	84	42	0	66	127	4	133	32	117	29	7	69	39	74	43	36	67	177	19	62	75	12	12	82	61
Lapot_gusevi	20	44	21	71	45	45	80	566	3	34	11	105	35	61	0	155	34	186	19	66	20	11	116	36	26	80	927	118	76	18	221	121	14	8	37	53
Leptophrys_vorax	30	73	215	88	68	71	204	229	11	65	25	117	49	122	183	0	61	174	50	83	39	13	134	40	50	3	97	126	89	25	72	93	20	15	50	129
MAST-03A_sp_MAST-3A-sp1	44	102	137	11	32	41	61	76	5	36	14	94	36	4	48	75	0	128	25	115	17	8	68	17	36	20	33	49	82	15	69	73	11	6	70	36
Mataza_sp_D1	47	110	206	34	72	69	92	149	9	55	10	85	43	132	210	206	152	0	44	169	25	14	11	30	41	116	58	139	99	19	144	127	17	8	133	75
Nannochloropsis_salina	18	100	69	8	39	33	26	43	3	41	8	65	10	52	31	90	24	36	0	40	6	4	28	14	113	19	10	21	81	5	26	23	3	4	62	119
Oxyrrhis_marina	24	92	98	16	36	35	56	89	17	36	18	30	63	66	46	81	61	87	22	0	18	6	48	45	37	23	33	47	44	19	78	85	7	28	47	232
Oxytricha_trifallax	15	8	18	11	12	21	25	82	15	10	14	12	22	18	27	31	15	23	2	14	0	34	14	11	7	7	9	25	14	52	9	10	58	10	12	31
Paramecium_tetraurelia	8	9	13	5	7	5	21	25	5	1	6	8	8	5	7	15	6	12	0	6	36	0	6	5	3	4	17	24	7	44	8	8	11	4	9	13
Paulinella_micropora	46	81	112	29	46	38	78	111	8	45	11	71	36	116	144	135	72	12	26	77	16	8	0	18	56	74	34	102	86	21	70	80	18	10	47	63
Perkinsus_marinus	36	13	15	5	13	10	18	22	6	10	18	15	112	14	18	21	13	20	5	23	8	5	17	0	6	8	22	23	15	3	19	12	3	12	7	68
Phaeodactylum_tricornutum	26	13	97	9	31	67	72	20	2	82	9	35	14	82	28	71	44	49	32	42	10	5	43	8	0	9	24	26	32	4	32	40	5	5	8	60
Plasmodiophora_brassicae	18	22	50	51	36	16	49	110	10	28	11	35	21	73	100	7	30	144	16	26	15	11	84	21	16	0	35	69	91	9	26	22	9	10	23	41
Platyophrya_macrostoma	8	13	22	22	21	20	51	376	4	7	10	32	21	15	947	53	8	26	8	38	9	13	20	31	8	10	0	45	17	30	219	49	69	4	17	20
Reticulomyxa_filosa	22	26	83	43	30	27	58	38	5	26	21	45	33	61	63	92	43	119	25	37	27	27	88	37	26	22	47	0	34	21	71	44	29	12	28	43
Saprolegnia_diclina	13	40	51	18	63	75	47	131	5	94	8	131	22	149	61	88	45	70	38	39	14	6	52	13	40	38	24	36	0	14	56	42	7	3	73	34
Stentor_coeruleus	11	3	17	11	10	12	15	52	11	9	15	14	14	14	20	30	13	15	3	13	18	30	23	7	8	11	19	50	21	0	17	13	54	8	19	21
Telonema_sp_P-2	56	107	104	34	46	56	94	538	2	30	11	87	37	71	247	117	94	152	25	131	17	12	76	38	40	19	409	67	54	15	0	39	9	4	71	53
Telonema_subtile	36	85	120	24	45	39	92	298	3	43	7	48	37	58	131	103	87	135	23	128	17	11	72	25	27	30	108	56	45	8	62	0	12	4	59	58
Tetrahymena_thermophila	18	4	17	3	6	13	12	34	5	7	9	12	13	8	23	23	13	13	5	13	63	9	8	9	5	8	44	33	6	47	13	14	0	4	8	13
Toxoplasma_gondii	18	10	21	5	14	3	12	29	165	10	64	7	51	15	12	25	4	10	3	26	6	1	8	28	11	5	10	15	11	7	11	11	6	0	8	5
Triparma_laevis	38	15	81	20	40	110	122	42	0	92	7	53	22	97	33	49	76	88	36	70	14	5	37	16	5	14	19	30	68	6	41	47	10	6	0	41
Vitrella_brassicaformis	42	41	102	17	26	34	64	91	48	29	37	33	83	50	42	84	19	45	25	185	22	5	45	63	44	16	31	34	36	16	35	39	13	4	19	0
