	Amoebophrya_sp_A120	Aureococcus_anophagefferens	Bigelowiella_longifila	Brevimastigomonas_motovehiculus	Cafeteria_burkhardae	Chattonella_subsalsa	Chlorochromonas_danica	Colponemidia_sp_Colp-15	Cryptosporidium_muris	Ectocarpus_siliculosus	Gregarina_niphandrodes	Haloplacidia_sp_CaronLabIsolate	Hematodinium_sp_SG-2012	Hondaea_fermentalgiana	Lapot_gusevi	Leptophrys_vorax	MAST-03A_sp_MAST-3A-sp1	Mataza_sp_D1	Nannochloropsis_salina	Oxyrrhis_marina	Oxytricha_trifallax	Paramecium_tetraurelia	Paulinella_micropora	Perkinsus_marinus	Phaeodactylum_tricornutum	Plasmodiophora_brassicae	Platyophrya_macrostoma	Reticulomyxa_filosa	Saprolegnia_diclina	Stentor_coeruleus	Telonema_sp_P-2	Telonema_subtile	Tetrahymena_thermophila	Toxoplasma_gondii	Triparma_laevis	Vitrella_brassicaformis
Plasmodiophora_brassicae	14	25	43	45	32	15	40	110	8	18	14	40	15	50	109	51	21	78	13	25	14	10	56	9	11	0	27	77	82	14	30	27	7	6	21	42
Platyophrya_macrostoma	9	15	19	6	16	6	37	266	4	6	12	22	14	13	811	34	7	21	5	20	20	19	20	17	15	6	0	31	19	35	205	55	77	2	10	20
Reticulomyxa_filosa	16	23	64	38	29	19	51	54	6	21	13	40	26	54	62	77	32	85	10	43	15	18	57	32	22	29	45	0	34	24	67	44	12	7	18	31
Saprolegnia_diclina	11	37	27	22	63	55	53	131	6	68	13	110	29	116	45	71	44	52	31	45	11	7	38	18	23	34	18	28	0	6	47	35	8	6	43	23
Stentor_coeruleus	10	4	16	8	10	6	16	85	11	11	18	14	26	13	18	31	12	12	7	14	60	28	21	10	7	10	26	44	21	0	17	17	43	4	15	15
Telonema_sp_P-2	26	85	73	17	31	32	64	347	3	19	10	37	33	61	133	75	55	80	9	94	12	7	47	27	17	19	343	55	49	13	0	592	7	8	34	35
Telonema_subtile	22	88	79	21	23	23	62	178	4	27	6	41	33	54	74	94	65	98	18	129	9	7	42	14	17	18	80	49	43	12	616	0	5	10	27	38
Tetrahymena_thermophila	12	5	19	4	4	18	17	37	6	5	10	16	16	9	26	24	15	18	3	13	77	49	9	9	3	6	70	38	5	37	19	10	0	5	11	8
Toxoplasma_gondii	9	7	18	6	10	2	18	25	129	6	49	8	48	16	10	24	4	8	5	33	9	2	7	37	4	5	9	10	7	7	9	12	3	0	8	34
Triparma_laevis	22	37	70	11	26	73	109	39	0	64	7	46	21	69	27	53	61	69	29	71	11	6	28	15	33	12	18	29	61	9	46	48	6	5	0	33
Vitrella_brassicaformis	34	49	61	15	24	34	67	96	44	28	33	43	85	30	36	84	19	32	27	144	11	5	38	65	38	19	24	29	33	19	30	35	13	27	22	0
