	Amoebophrya_sp_A120	Aureococcus_anophagefferens	Bigelowiella_longifila	Brevimastigomonas_motovehiculus	Cafeteria_burkhardae	Chattonella_subsalsa	Chlorochromonas_danica	Colponemidia_sp_Colp-15	Cryptosporidium_muris	Ectocarpus_siliculosus	Gregarina_niphandrodes	Haloplacidia_sp_CaronLabIsolate	Hematodinium_sp_SG-2012	Hondaea_fermentalgiana	Lapot_gusevi	Leptophrys_vorax	MAST-03A_sp_MAST-3A-sp1	Mataza_sp_D1	Nannochloropsis_salina	Oxyrrhis_marina	Oxytricha_trifallax	Paramecium_tetraurelia	Paulinella_micropora	Perkinsus_marinus	Phaeodactylum_tricornutum	Plasmodiophora_brassicae	Platyophrya_macrostoma	Reticulomyxa_filosa	Saprolegnia_diclina	Stentor_coeruleus	Telonema_sp_P-2	Telonema_subtile	Tetrahymena_thermophila	Toxoplasma_gondii	Triparma_laevis	Vitrella_brassicaformis
Amoebophrya_sp_A120	0	51	48	9	14	24	40	37	10	14	17	21	104	41	25	46	37	40	9	97	22	2	32	61	25	13	27	36	18	18	40	35	7	22	39	71
Aureococcus_anophagefferens	27	0	101	19	56	75	122	39	1	125	6	45	26	102	27	70	67	71	64	113	11	4	63	13	33	16	27	25	69	6	70	103	5	9	46	52
Bigelowiella_longifila	34	92	0	30	40	44	94	81	6	29	11	48	40	90	27	142	92	114	20	91	15	10	57	25	45	43	26	145	62	9	89	90	10	5	49	62
Brevimastigomonas_motovehiculus	13	13	23	0	20	16	43	100	2	14	10	44	18	12	130	93	16	49	19	30	14	9	30	14	8	42	31	87	32	10	38	31	5	6	17	20
Cafeteria_burkhardae	17	73	47	16	0	30	56	93	1	44	9	25	25	77	52	99	23	55	21	50	13	7	36	23	19	38	42	42	95	7	60	56	4	4	45	38
Chattonella_subsalsa	19	134	86	9	26	0	127	65	2	42	10	59	26	63	36	87	42	51	47	110	17	4	39	15	116	17	18	35	126	9	53	33	5	8	140	118
Chlorochromonas_danica	23	101	71	20	50	81	0	95	2	84	11	77	21	82	51	131	49	67	17	70	16	4	66	20	78	18	33	64	85	14	53	67	8	11	73	84
Colponemidia_sp_Colp-15	18	33	39	39	44	33	67	0	4	27	9	94	46	62	217	200	44	81	24	50	34	9	55	26	11	43	291	52	87	37	295	152	18	12	29	79
Cryptosporidium_muris	4	1	5	6	4	7	5	8	0	1	4	1	16	3	8	9	5	0	1	15	10	2	3	10	1	4	2	9	2	3	7	4	3	88	3	21
Ectocarpus_siliculosus	12	178	87	9	53	50	97	55	3	0	5	68	19	86	43	83	28	35	51	44	5	6	32	12	121	20	15	26	131	7	31	41	4	8	130	118
Gregarina_niphandrodes	13	8	7	2	13	5	12	11	2	3	0	9	15	6	19	18	11	11	5	27	8	2	7	17	6	4	13	20	10	8	12	9	7	74	6	17
Haloplacidia_sp_CaronLabIsolate	10	43	46	29	8	38	61	161	3	40	7	0	16	66	71	91	72	68	32	60	13	0	32	22	21	21	40	44	154	12	60	36	5	9	44	34
Hematodinium_sp_SG-2012	64	28	41	12	16	10	38	44	20	15	11	15	0	30	22	39	29	46	14	205	13	6	34	128	17	9	21	31	18	11	45	35	7	23	22	129
Hondaea_fermentalgiana	32	81	98	15	66	36	74	100	4	58	13	88	41	0	34	86	7	95	19	96	23	5	66	23	56	30	34	47	160	10	55	71	6	4	57	34
Lapot_gusevi	11	30	29	70	39	41	80	429	4	31	13	79	40	47	0	166	37	116	20	72	23	9	66	29	20	75	857	116	66	25	152	108	11	8	26	38
Leptophrys_vorax	20	79	137	76	63	44	181	213	10	43	17	102	50	84	178	0	48	115	59	77	29	11	90	37	38	24	81	122	82	27	87	88	14	14	38	86
MAST-03A_sp_MAST-3A-sp1	30	72	108	11	41	21	48	67	3	29	7	116	22	16	28	66	0	100	15	88	14	8	51	12	25	11	31	41	84	14	74	82	10	9	58	29
Mataza_sp_D1	47	101	145	49	64	41	66	143	5	58	11	77	55	115	170	173	138	0	40	164	20	7	33	27	41	101	53	154	96	21	163	153	9	12	99	63
Nannochloropsis_salina	20	104	59	10	36	49	51	48	1	53	5	46	12	52	23	84	28	29	0	37	7	3	21	11	79	16	17	23	84	8	24	25	2	4	54	122
Oxyrrhis_marina	52	91	90	14	30	37	58	83	10	22	18	24	151	58	49	66	57	82	20	0	12	8	37	94	32	18	32	51	35	17	109	95	7	27	47	179
Oxytricha_trifallax	11	7	16	11	7	19	23	95	15	12	11	11	15	26	33	42	10	13	1	17	0	23	10	14	3	7	24	45	14	117	17	21	71	6	13	22
Paramecium_tetraurelia	6	3	9	8	7	6	20	32	10	2	3	6	11	5	7	23	6	12	6	11	52	0	13	5	4	3	36	27	5	53	14	11	147	4	11	12
Paulinella_micropora	42	84	99	40	37	32	79	102	7	38	14	62	31	93	146	151	62	60	28	84	17	8	0	18	41	63	40	105	62	18	85	87	11	14	53	55
Perkinsus_marinus	30	15	21	6	18	5	15	31	13	10	13	13	119	25	16	25	15	24	7	62	5	4	16	0	6	10	18	17	16	7	24	19	7	15	11	55
Phaeodactylum_tricornutum	17	42	68	7	34	55	95	20	1	61	13	26	16	72	17	45	29	36	41	47	6	5	37	12	0	7	19	27	41	6	41	45	5	4	37	48
